BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,OPEN,LOW,HIGH,LEGALCLOSEPRICE,WAPRICE,CLOSE,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,WAVAL,TRADINGSESSION,CURRENCYID,TRENDCLSPR,TRADE_SESSION_DATE
TQBR,2025-05-06,Телеграф-п,CNTLP,140,764258,7.14,7.14,7.28,7.28,7.24,7.28,105500,7.24,7.24,,764258,764258,,0,3,SUR,1.39,2025-05-06
TQBR,2025-05-06,iАренадата,DATA,4217,15496695,126.18,125.26,128,127.32,127.06,127.24,121971,127.22,127.22,,10244702.8,10244702.8,,0,3,SUR,0.74,2025-05-06
TQBR,2025-05-06,iКаршеринг,DELI,3280,24284894.4,160,159.6,167.95,162.9,163.1,162.9,148878,163.4,163.4,,17955728.35,17955728.35,,0,3,SUR,2.42,2025-05-06
TQBR,2025-05-06,iДиасофт,DIAS,1190,14301599.5,3190,3178,3218.5,3211.5,3200,3218.5,4469,3199.5,3199.5,,9662876,9662876,,0,3,SUR,0.72,2025-05-06
TQBR,2025-05-06,ЗаводДИОД,DIOD,67,411958,10.64,10.63,11.24,10.86,10.81,10.86,38100,,10.8,,0,508728,,0,3,SUR,0.74,2025-05-06
TQBR,2025-05-06,ДЭК ао,DVEC,231,2303689,2.17,2.158,2.219,2.168,2.175,2.168,1059000,2.175,2.175,,2303689,2303689,,0,3,SUR,-0.09,2025-05-06
TQBR,2025-05-06,ДонскЗР,DZRD,10,80505,3810,3805,3850,3850,3835,3850,21,,3890,,0,501570,,0,3,SUR,1.32,2025-05-06
TQBR,2025-05-06,ДонскЗР п,DZRDP,66,512690,2550,2440,2550,2500,2490,2500,206,2490,2490,,512690,512690,,0,3,SUR,0,2025-05-06
TQBR,2025-05-06,ЕвроЭлтех,EELT,184,817807,10.9,10.9,11.46,11.46,11.24,11.46,72760,11.24,11.24,,817807,817807,,0,3,SUR,4.56,2025-05-06
TQBR,2025-05-06,ЭЛ5Энер ао,ELFV,2977,33039394.8,0.4978,0.4886,0.5068,0.5024,0.5002,0.5024,66044000,0.4982,0.4982,,17282779.4,17282779.4,,0,3,SUR,1.54,2025-05-06
TQBR,2025-05-06,Элемент,ELMT,912,4557216.15,0.13275,0.13205,0.13455,0.13445,0.13375,0.133,34076000,0.13395,0.13395,,2197337.5,2197337.5,,0,3,SUR,-0.04,2025-05-06
TQBR,2025-05-06,ЭН+ГРУП ао,ENPG,19420,528367796.1,386.45,386.45,406,403.45,398.95,401.15,1324320,399.5,399.5,,323810784.2,323810784.2,,0,3,SUR,3.79,2025-05-06
